NOMBRE PARQUE;ESPECIE;UNIDADES 2025;;;
JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Pyrus calleryana 'Chanticleer';6;;;
JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Pinus halepensis;1;;;
PARQUE DE LA DEHESA DE LA VILLA;Pinus pinea;4818;;;
PARQUE DE LA DEHESA DE LA VILLA;Quercus ilex;1055;;;
PARQUE DE LA DEHESA DE LA VILLA;Prunus dulcis;928;;;
PARQUE DE LA DEHESA DE LA VILLA;Pinus halepensis;649;;;
PARQUE DE LA DEHESA DE LA VILLA;Ulmus pumila;339;;;
PARQUE DE LA DEHESA DE LA VILLA;Ulmus minor;321;;;
PARQUE DE LA DEHESA DE LA VILLA;Ailanthus altissima;259;;;
PARQUE DE LA DEHESA DE LA VILLA;Fraxinus angustifolia;188;;;
PARQUE DE LA DEHESA DE LA VILLA;Gleditsia triacanthos;185;;;
PARQUE DE LA DEHESA DE LA VILLA;Morus alba 'Fruitless';180;;;
PARQUE DE LA DEHESA DE LA VILLA;Otros;2271;;;
PARQUE MADRID RÍO;Pinus pinea;2895;;;
PARQUE MADRID RÍO;Pinus halepensis;2341;;;
PARQUE MADRID RÍO;Platanus x hispanica;1503;;;
PARQUE MADRID RÍO;Acer x freemanii;562;;;
PARQUE MADRID RÍO;Melia azedarach;515;;;
PARQUE MADRID RÍO;Populus nigra;437;;;
PARQUE MADRID RÍO;Fraxinus angustifolia;429;;;
PARQUE MADRID RÍO;Celtis australis;410;;;
PARQUE MADRID RÍO;Aesculus hippocastanum;407;;;
PARQUE MADRID RÍO;Ginkgo biloba;354;;;
PARQUE MADRID RIO;Otros;4124;;;
PARQUE LINEAL DEL MANZANARES;Pinus pinea;1480;;;
PARQUE LINEAL DEL MANZANARES;Platanus x hispanica;568;;;
PARQUE LINEAL DEL MANZANARES;Olea europaea;506;;;
PARQUE LINEAL DEL MANZANARES;Celtis australis;427;;;
PARQUE LINEAL DEL MANZANARES;Cupressus sempervirens;407;;;
PARQUE LINEAL DEL MANZANARES;Tilia platyphyllos;229;;;
PARQUE LINEAL DEL MANZANARES;Gleditsia triacanthos;226;;;
PARQUE LINEAL DEL MANZANARES;Robinia pseudoacacia;126;;;
PARQUE LINEAL DEL MANZANARES;Pinus nigra;120;;;
PARQUE LINEAL DEL MANZANARES;Tilia tomentosa;115;;;
PARQUE LINEAL DEL MANZANARES;Otros;1316;;;
PARQUE JUAN PABLO II;Pinus pinea;143;;;
PARQUE JUAN PABLO II;Celtis australis;126;;;
PARQUE JUAN PABLO II;Morus alba;124;;;
PARQUE JUAN PABLO II;Aesculus hippocastanum;114;;;
PARQUE JUAN PABLO II;Gleditsia triacanthos;88;;;
PARQUE JUAN PABLO II;Prunus dulcis;76;;;
PARQUE JUAN PABLO II;Cupressus sempervirens;55;;;
PARQUE JUAN PABLO II;Liquidambar styraciflua;51;;;
PARQUE JUAN PABLO II;Lagerstroemia indica;47;;;
PARQUE JUAN PABLO II;Punica granatum;47;;;
PARQUE JUAN PABLO II;Otros;701;;;
PARQUE JUAN CARLOS I;Olea europaea;2430;;;
PARQUE JUAN CARLOS I;Pinus pinea;1057;;;
PARQUE JUAN CARLOS I;Catalpa bignonioides;863;;;
PARQUE JUAN CARLOS I;Styphnolobium japonicum;615;;;
PARQUE JUAN CARLOS I;Cupressus sempervirens;552;;;
PARQUE JUAN CARLOS I;Fraxinus excelsior;510;;;
PARQUE JUAN CARLOS I;Morus alba;497;;;
PARQUE JUAN CARLOS I;Platanus x hispanica;497;;;
PARQUE JUAN CARLOS I;Gleditsia triacanthos;431;;;
PARQUE JUAN CARLOS I;Populus alba;347;;;
PARQUE JUAN CARLOS I;Otros;6049;;;
ZONAS VERDES DISTRITO C - LAS TABLAS;Pinus pinea;453;;;
ZONAS VERDES DISTRITO C - LAS TABLAS;Celtis australis;342;;;
ZONAS VERDES DISTRITO C - LAS TABLAS;Prunus cerasifera  subsp. pissardii;144;;;
ZONAS VERDES DISTRITO C - LAS TABLAS;Melia azedarach;111;;;
ZONAS VERDES DISTRITO C - LAS TABLAS;Pinus nigra;90;;;
ZONAS VERDES DISTRITO C - LAS TABLAS;Pyrus calleryana 'Chanticleer';72;;;
ZONAS VERDES DISTRITO C - LAS TABLAS;Koelreuteria paniculata;71;;;
ZONAS VERDES DISTRITO C - LAS TABLAS;x Cupressocyparis x leylandii;68;;;
ZONAS VERDES DISTRITO C - LAS TABLAS;Liquidambar styraciflua;55;;;
ZONAS VERDES DISTRITO C - LAS TABLAS;Olea europaea;49;;;
ZONAS VERDES DISTRITO C - LAS TABLAS;Otros;377;;;
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI;Celtis australis;1061;;;
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI;Morus alba 'Fruitless';438;;;
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI;Koelreuteria paniculata;350;;;
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI;Quercus ilex;321;;;
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI;Fraxinus angustifolia;298;;;
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI;Prunus dulcis;277;;;
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI;Olea europaea;164;;;
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI;Ulmus pumila;134;;;
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI;Ulmus 'Sapporo Autumn Gold' resista;132;;;
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI;Pinus pinea;128;;;
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI;Otros;2377;;;
PARQUE PRINCESA LEONOR;Quercus ilex;1154;;;
PARQUE PRINCESA LEONOR;Pinus halepensis;452;;;
PARQUE PRINCESA LEONOR;Prunus dulcis;318;;;
PARQUE PRINCESA LEONOR;Celtis australis;234;;;
PARQUE PRINCESA LEONOR;Fraxinus angustifolia;230;;;
PARQUE PRINCESA LEONOR;Quercus suber;227;;;
PARQUE PRINCESA LEONOR;Populus nigra;221;;;
PARQUE PRINCESA LEONOR;Populus x canescens;189;;;
PARQUE PRINCESA LEONOR;Acer campestre;179;;;
PARQUE PRINCESA LEONOR;Olea europaea;133;;;
PARQUE PRINCESA LEONOR;Otros;1974;;;
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA;Pinus halepensis;2845;;;
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA;Pinus pinea;2842;;;
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA;Celtis australis;1260;;;
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA;Quercus ilex;872;;;
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA;Cedrus deodara;626;;;
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA;Platanus orientalis;625;;;
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA;Ulmus pumila;575;;;
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA;Quercus robur;321;;;
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA;Melia azedarach;288;;;
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA;Cupressus sempervirens;259;;;
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA;Otros;3319;;;
"ROSALEDA DE MADRID ""RAMON ORTIZ""";Cedrus deodara;52;;;
"ROSALEDA DE MADRID ""RAMON ORTIZ""";Acer negundo;18;;;
"ROSALEDA DE MADRID ""RAMON ORTIZ""";Prunus cerasifera  subsp. pissardii;8;;;
"ROSALEDA DE MADRID ""RAMON ORTIZ""";Acer campestre;7;;;
"ROSALEDA DE MADRID ""RAMON ORTIZ""";Thuja occidentalis;7;;;
"ROSALEDA DE MADRID ""RAMON ORTIZ""";Crataegus laevigata 'Paul's Scarlet';5;;;
"ROSALEDA DE MADRID ""RAMON ORTIZ""";Populus alba 'Bolleana';4;;;
"ROSALEDA DE MADRID ""RAMON ORTIZ""";Betula utilis;2;;;
"ROSALEDA DE MADRID ""RAMON ORTIZ""";Cedrus atlantica 'Glauca';2;;;
"ROSALEDA DE MADRID ""RAMON ORTIZ""";Carpinus betulus;2;;;
"ROSALEDA DE MADRID ""RAMON ORTIZ""";Otros;14;;;
JARDINES DE LA PLAZA DE ESPAÑA;Platanus x hispanica;158;;;
JARDINES DE LA PLAZA DE ESPAÑA;Acer campestre;81;;;
JARDINES DE LA PLAZA DE ESPAÑA;Acer platanoides 'Crimson King';68;;;
JARDINES DE LA PLAZA DE ESPAÑA;Acer saccharinum;67;;;
JARDINES DE LA PLAZA DE ESPAÑA;Cercis siliquastrum;46;;;
JARDINES DE LA PLAZA DE ESPAÑA;Punica granatum;42;;;
JARDINES DE LA PLAZA DE ESPAÑA;Acer x freemanii 'Autumn Blaze';40;;;
JARDINES DE LA PLAZA DE ESPAÑA;Acer monspessulanum;34;;;
JARDINES DE LA PLAZA DE ESPAÑA;Koelreuteria paniculata;31;;;
JARDINES DE LA PLAZA DE ESPAÑA;Olea europaea;31;;;
JARDINES DE LA PLAZA DE ESPAÑA;Otros;307;;;
PARQUE DE LA GAVIA;Celtis australis;259;;;
PARQUE DE LA GAVIA;Fraxinus angustifolia;249;;;
PARQUE DE LA GAVIA;Melia azedarach;217;;;
PARQUE DE LA GAVIA;Quercus ilex;204;;;
PARQUE DE LA GAVIA;Morus alba;196;;;
PARQUE DE LA GAVIA;Acer campestre;168;;;
PARQUE DE LA GAVIA;Elaeagnus angustifolia;131;;;
PARQUE DE LA GAVIA;Gleditsia triacanthos;125;;;
PARQUE DE LA GAVIA;Cydonia oblonga;121;;;
PARQUE DE LA GAVIA;Ulmus pumila;116;;;
PARQUE DE LA GAVIA;Otros;1539;;;
PARQUE DE LA ATALAYUELA;Pinus pinea;572;;;
PARQUE DE LA ATALAYUELA;Morus alba;52;;;
PARQUE DE LA ATALAYUELA;Pyrus calleryana;44;;;
PARQUE DE LA ATALAYUELA;Celtis australis;41;;;
PARQUE DE LA ATALAYUELA;Fraxinus angustifolia;40;;;
PARQUE DE LA ATALAYUELA;Fraxinus sp;39;;;
PARQUE DE LA ATALAYUELA;Tilia cordata;30;;;
PARQUE DE LA ATALAYUELA;Populus nigra;22;;;
PARQUE DE LA ATALAYUELA;Quercus ilex;17;;;
PARQUE DE LA ATALAYUELA;Acer x freemanii;15;;;
PARQUE DE LA ATALAYUELA;Otros;62;;;
JARDÍN DE LA  QUINTA DE TORRE ARIAS;Ulmus minor;1020;;;
JARDÍN DE LA  QUINTA DE TORRE ARIAS;Prunus dulcis;486;;;
JARDÍN DE LA  QUINTA DE TORRE ARIAS;Celtis australis;343;;;
JARDÍN DE LA  QUINTA DE TORRE ARIAS;Laurus nobilis;277;;;
JARDÍN DE LA  QUINTA DE TORRE ARIAS;Ulmus x hollandica;230;;;
JARDÍN DE LA  QUINTA DE TORRE ARIAS;Ailanthus altissima;224;;;
JARDÍN DE LA  QUINTA DE TORRE ARIAS;Cercis siliquastrum;169;;;
JARDÍN DE LA  QUINTA DE TORRE ARIAS;Pinus pinea;151;;;
JARDÍN DE LA  QUINTA DE TORRE ARIAS;Cedrus deodara;132;;;
JARDÍN DE LA  QUINTA DE TORRE ARIAS;Broussonetia papyrifera;100;;;
JARDÍN DE LA  QUINTA DE TORRE ARIAS;Otros;1401;;;
BOSQUE DE LOS ABRAZOS PERDIDOS;Pinus halepensis;356;;;
BOSQUE DE LOS ABRAZOS PERDIDOS;Olea europaea;231;;;
BOSQUE DE LOS ABRAZOS PERDIDOS;Prunus dulcis;227;;;
BOSQUE DE LOS ABRAZOS PERDIDOS;Quercus faginea;204;;;
BOSQUE DE LOS ABRAZOS PERDIDOS;Juniperus phoenicea;112;;;
BOSQUE DE LOS ABRAZOS PERDIDOS;Quercus ilex;98;;;
BOSQUE DE LOS ABRAZOS PERDIDOS;Ulmus pumila;90;;;
BOSQUE DE LOS ABRAZOS PERDIDOS;Cupressus sempervirens;72;;;
BOSQUE DE LOS ABRAZOS PERDIDOS;Celtis australis;57;;;
BOSQUE DE LOS ABRAZOS PERDIDOS;Quercus coccifera;50;;;
BOSQUE DE LOS ABRAZOS PERDIDOS;Otros;308;;;
PARQUE LINEAL DE MANZANARES SUR;Populus nigra;2157;;;
PARQUE LINEAL DE MANZANARES SUR;Celtis australis;1843;;;
PARQUE LINEAL DE MANZANARES SUR;Pinus pinea;956;;;
PARQUE LINEAL DE MANZANARES SUR;Fraxinus angustifolia;904;;;
PARQUE LINEAL DE MANZANARES SUR;Ulmus sp;716;;;
PARQUE LINEAL DE MANZANARES SUR;Pinus halepensis;273;;;
PARQUE LINEAL DE MANZANARES SUR;Koelreuteria paniculata;161;;;
PARQUE LINEAL DE MANZANARES SUR;Cedrus deodara;139;;;
PARQUE LINEAL DE MANZANARES SUR;Platanus x hispanica;127;;;
PARQUE LINEAL DE MANZANARES SUR;Prunus cerasifera  subsp. pissardii;115;;;
PARQUE LINEAL DE MANZANARES SUR;Otros;1099;;;
PARQUE DE LAS COMUNIDADES;Pinus pinea;523;;;
PARQUE DE LAS COMUNIDADES;Celtis australis;319;;;
PARQUE DE LAS COMUNIDADES;Ulmus pumila;242;;;
PARQUE DE LAS COMUNIDADES;Acer pseudoplatanus;179;;;
PARQUE DE LAS COMUNIDADES;Melia azedarach;147;;;
PARQUE DE LAS COMUNIDADES;Pinus halepensis;114;;;
PARQUE DE LAS COMUNIDADES;Quercus coccifera;105;;;
PARQUE DE LAS COMUNIDADES;Populus simonii;88;;;
PARQUE DE LAS COMUNIDADES;Quercus ilex;84;;;
PARQUE DE LAS COMUNIDADES;Populus nigra;66;;;
PARQUE DE LAS COMUNIDADES;Otros;1066;;;
;;;;;
;;;;;
;;;;;
NOTA: ;;;;;
En este fichero unicamente figuran los datos del arbolado que está individualizado, pie a pie, en cada uno de los parques. ;;;;;
Los árboles situados en masas arbóresas o forestales no se incluyen aquí. Sus datos se recogen en el fichero de Masas de parques históricos, singulares y forestales;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
